distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,l/km,fuel_consumed,cost_trip,temp_diff
28.0,5.0,26,21.5,12,,E10,0,0,0,45,E10,0.05,1.4000000000000001,2.49,9.5
12.0,4.2,30,21.5,13,,E10,0,0,0,,,0.042,0.504,0.9,8.5
11.2,5.5,38,21.5,15,,E10,0,0,0,,,0.055,0.616,1.1,6.5
12.9,3.9,36,21.5,14,,E10,0,0,0,,,0.039,0.5031,0.9,7.5
18.5,4.5,46,21.5,15,,E10,0,0,0,,,0.045,0.8325,1.48,6.5
8.3,6.4,50,21.5,10,,E10,0,0,0,,,0.064,0.5312,0.95,11.5
7.8,4.4,43,21.5,11,,E10,0,0,0,,,0.044000000000000004,0.3432,0.61,10.5
12.3,5.0,40,21.5,6,,E10,0,0,0,,,0.05,0.6150000000000001,1.09,15.5
4.9,6.4,26,21.5,4,,E10,0,0,0,,,0.064,0.31360000000000005,0.56,17.5
11.9,5.3,30,21.5,9,,E10,0,0,0,,,0.053,0.6307,1.12,12.5
12.4,5.6,42,21.5,4,,E10,0,0,0,,,0.055999999999999994,0.6943999999999999,1.24,17.5
11.8,4.6,38,21.5,0,,E10,0,0,0,,,0.046,0.5428000000000001,0.97,21.5
12.3,5.9,59,21.5,10,,E10,0,0,0,,,0.059000000000000004,0.7257000000000001,1.29,11.5
24.7,5.1,58,21.5,12,,E10,0,0,0,,,0.051,1.2596999999999998,2.24,9.5
12.4,4.7,46,21.5,11,,E10,0,0,0,,,0.047,0.5828,1.04,10.5
17.3,5.1,24,21.5,5,,E10,0,0,0,,,0.051,0.8823,1.57,16.5
33.4,5.6,36,21.5,3,,E10,0,0,0,,,0.055999999999999994,1.8703999999999996,3.33,18.5
11.8,5.1,32,21.5,3,,E10,0,0,0,,,0.051,0.6018,1.07,18.5
25.9,4.9,39,21.5,8,,E10,0,0,0,,,0.049,1.2691,2.26,13.5
11.8,4.7,40,21.5,4,,E10,0,0,0,,,0.047,0.5546,0.99,17.5
25.3,5.5,32,21.5,3,,E10,0,0,0,,,0.055,1.3915,2.48,18.5
14.2,5.9,38,21.5,1,,E10,0,0,0,,,0.059000000000000004,0.8378,1.49,20.5
17.9,5.7,37,21.5,1,,E10,0,0,0,,,0.057,1.0203,1.82,20.5
11.8,4.7,36,21.5,1,,E10,0,0,0,,,0.047,0.5546,0.99,20.5
12.3,5.9,62,21.5,6,,E10,0,0,0,,,0.059000000000000004,0.7257000000000001,1.29,15.5
12.4,4.1,57,21.5,9,,E10,0,0,0,,,0.040999999999999995,0.5084,0.9,12.5
18.4,5.7,21,22.5,2,,E10,0,0,0,,,0.057,1.0488,1.87,20.5
18.4,5.8,28,21.5,3,,E10,0,0,0,,,0.057999999999999996,1.0672,1.9,18.5
18.3,5.5,29,21.5,1,,E10,0,0,0,,,0.055,1.0065,1.79,20.5
18.4,5.7,35,21.5,4,,E10,0,0,0,,,0.057,1.0488,1.87,17.5
12.3,5.3,51,21.5,11,,E10,0,0,0,,,0.053,0.6519,1.16,10.5
11.8,5.0,29,21.5,10,,E10,0,0,0,,,0.05,0.5900000000000001,1.05,11.5
12.3,5.6,58,21.5,8,,E10,0,0,0,,,0.055999999999999994,0.6888,1.23,13.5
32.6,4.8,40,21.5,7,,E10,0,0,0,,,0.048,1.5648000000000002,2.79,14.5
19.0,4.3,36,21.5,7,,E10,0,0,0,,,0.043,0.817,1.45,14.5
12.1,5.7,36,21.5,8,,E10,0,0,0,,,0.057,0.6897,1.23,13.5
20.0,5.2,37,21.5,4,,E10,0,0,0,,,0.052000000000000005,1.04,1.85,17.5
4.9,7.4,26,21.5,6,,E10,0,0,0,,,0.07400000000000001,0.3626000000000001,0.65,15.5
11.8,4.8,23,21.5,9,,E10,0,0,0,,,0.048,0.5664,1.01,12.5
12.3,6.5,58,21.5,7,,E10,0,0,0,,,0.065,0.7995000000000001,1.42,14.5
12.4,4.0,55,21.5,7,AC rain,E10,1,1,0,,,0.04,0.49600000000000005,0.88,14.5
4.5,5.0,29,21.5,7,AC,E10,1,0,0,,,0.05,0.225,0.4,14.5
11.7,4.6,37,21.5,6,,E10,0,0,0,,,0.046,0.5382,0.96,15.5
10.2,4.3,44,21.5,7,,E10,0,0,0,,,0.043,0.43859999999999993,0.78,14.5
5.4,3.3,32,21.5,7,,SP98,0,0,0,"37,6",SP98,0.033,0.17820000000000003,0.33,14.5
2.0,9.9,21,21.5,4,,SP98,0,0,0,,,0.099,0.198,0.36,17.5
14.2,5.1,32,21.5,7,,SP98,0,0,0,,,0.051,0.7242,1.33,14.5
16.0,4.9,25,21.5,8,,SP98,0,0,0,,,0.049,0.784,1.43,13.5
11.8,4.9,25,21.5,11,,SP98,0,0,0,,,0.049,0.5782,1.06,10.5
27.3,4.7,36,21.5,10,,SP98,0,0,0,,,0.047,1.2831000000000001,2.35,11.5
11.8,5.1,29,21.5,5,rain,SP98,0,1,0,,,0.051,0.6018,1.1,16.5
10.6,4.9,63,21.5,6,,SP98,0,0,0,,,0.049,0.5194,0.95,15.5
11.6,4.2,61,21.5,7,,SP98,0,0,0,,,0.042,0.4872,0.89,14.5
13.1,6.1,46,21.5,6,rain,SP98,0,1,0,,,0.061,0.7990999999999999,1.46,15.5
6.1,6.4,28,21.5,8,,SP98,0,0,0,,,0.064,0.39039999999999997,0.71,13.5
153.5,4.9,82,21.5,3,rain,SP98,0,1,0,,,0.049,7.5215000000000005,13.76,18.5
11.8,4.9,24,21.5,7,,SP98,0,0,0,,,0.049,0.5782,1.06,14.5
12.3,6.2,61,21.5,8,,SP98,0,0,0,,,0.062,0.7626000000000001,1.4,13.5
12.4,4.2,57,21.5,8,,SP98,0,0,0,,,0.042,0.5208,0.95,13.5
12.3,5.7,52,21.5,8,rain,SP98,0,1,0,,,0.057,0.7011000000000001,1.28,13.5
